URL,Material,TotalArea,RoomsNumber,FloorNumberCoeff,Distance,ApartmentAge,Price
https://blagovist.ua/object/251675889,1.0,135.8,3.0,0.36,2734.903585695341,6.0,330300.0
https://blagovist.ua/object/419821653,1.0,190.0,3.0,0.12,3321.493202299515,16.0,300300.0
https://blagovist.ua/object/83926264,1.0,155.1,4.0,0.75,2393.9685046977074,11.0,284040.0
https://blagovist.ua/object/285235745,1.0,140.0,4.0,0.68,3696.023984639892,16.0,340800.0
https://blagovist.ua/object/33659981,1.0,278.1,7.0,0.8,1510.768622714103,110.0,414000.0
https://blagovist.ua/object/104824,1.0,329.0,5.0,0.8823529411764706,7435.949956032065,16.0,284040.0
https://blagovist.ua/object/117484553,1.0,120.0,3.0,0.4666666666666667,4811.220011962436,6.0,365100.0
https://blagovist.ua/object/285226905,1.0,178.0,4.0,0.391304347826087,5413.708496119627,6.0,361200.0
https://blagovist.ua/object/420964687,6.0,112.0,3.0,1.0,3245.5976894129285,6.0,324600.0
https://blagovist.ua/object/201356380,1.0,177.0,4.0,0.5,1844.8870213694956,11.0,292140.0
https://blagovist.ua/object/104354,1.0,180.0,4.0,0.48,3696.023984639892,16.0,365100.0
https://blagovist.ua/object/33658530,1.0,171.0,3.0,0.96,3446.3860707731305,1.0,347400.0
https://blagovist.ua/object/201358606,1.0,209.0,4.0,0.8571428571428571,926.3720056191876,110.0,389400.0
https://blagovist.ua/object/251683994,1.0,201.4,4.0,0.7142857142857143,3473.991649923495,6.0,290250.0
https://blagovist.ua/object/33659650,1.0,130.0,3.0,0.5652173913043478,1597.4104675185047,11.0,385500.0
https://blagovist.ua/object/385903595,1.0,100.0,2.0,0.782608695652174,5597.312114849929,6.0,271860.0
https://blagovist.ua/object/50366436,1.0,145.0,3.0,0.4,1459.171454941889,81.0,340800.0
https://blagovist.ua/object/419950468,1.0,205.0,4.0,0.6875,2939.7462466903407,16.0,446400.0
https://blagovist.ua/object/67137964,1.0,80.0,2.0,0.4,864.5292479416811,110.0,284040.0
https://blagovist.ua/object/201358760,1.0,168.8,3.0,0.36363636363636365,1464.1686392333459,6.0,377400.0
https://blagovist.ua/object/117476918,1.0,120.6,3.0,0.5,2438.172957934759,16.0,284040.0
https://blagovist.ua/object/117483716,1.0,155.0,4.0,0.26666666666666666,4737.660423704151,16.0,284040.0
https://blagovist.ua/object/67146580,1.0,122.0,4.0,0.4444444444444444,5170.592427270858,6.0,388800.0
https://blagovist.ua/object/117483276,1.0,168.0,3.0,0.8,2311.6416109115153,16.0,308400.0
https://blagovist.ua/object/385892201,1.0,80.0,3.0,0.4,829.1273060332364,110.0,324600.0
https://blagovist.ua/object/16870101,1.0,100.0,2.0,0.5454545454545454,2207.467083264918,11.0,275100.0
https://blagovist.ua/object/67146576,1.0,160.0,3.0,0.16666666666666666,4620.856122656455,6.0,267810.0
https://blagovist.ua/object/33658046,1.0,131.0,3.0,0.56,3330.339350137729,6.0,318900.0
https://blagovist.ua/object/201361201,1.0,200.0,4.0,0.4,926.3720056191876,110.0,323700.0
https://blagovist.ua/object/218113965,1.0,77.0,2.0,0.3333333333333333,328.7243482613648,110.0,284040.0
https://blagovist.ua/object/83925986,1.0,130.5,3.0,0.6,2555.866598051911,6.0,275250.0
https://blagovist.ua/object/50366069,1.0,81.0,2.0,0.5333333333333333,3577.0938642689866,6.0,295380.0
https://blagovist.ua/object/268436648,1.0,240.0,4.0,0.9375,7435.949956032065,25.0,284040.0
https://blagovist.ua/object/201361452,1.0,118.2,2.0,0.3548387096774194,4756.829839815786,6.0,426000.0
https://blagovist.ua/object/251671021,1.0,136.0,3.0,0.47368421052631576,2272.4222092749624,11.0,324600.0
https://blagovist.ua/object/201361370,1.0,147.0,4.0,0.4583333333333333,8433.158606082005,11.0,255630.0
https://blagovist.ua/object/419781587,1.0,265.0,5.0,0.5,2321.4709593157822,25.0,284040.0
https://blagovist.ua/object/285226257,1.0,206.0,6.0,0.64,2555.866598051911,6.0,417900.0
https://blagovist.ua/object/285229293,1.0,164.6,4.0,0.32,3653.1136112297436,1.0,261090.0
https://blagovist.ua/object/419912638,1.0,180.0,4.0,0.42857142857142855,2383.48051545684,25.0,284040.0
https://blagovist.ua/object/419834920,1.0,120.0,4.0,0.24,5611.866727823111,1.0,361200.0
https://blagovist.ua/object/50366004,1.0,90.0,3.0,0.64,4860.605404824051,6.0,267810.0
https://blagovist.ua/object/251682803,1.0,124.3,3.0,0.2631578947368421,4443.272374299364,11.0,315600.0
https://blagovist.ua/object/251675491,1.0,95.7,2.0,0.76,2734.903585695341,6.0,260100.0
https://blagovist.ua/object/419937085,1.0,190.0,4.0,0.8571428571428571,1040.132194887259,81.0,381300.0
https://blagovist.ua/object/420887437,11.0,150.0,2.0,0.2857142857142857,3912.121043756276,6.0,365100.0
