URL,Price,Material,TotalArea,RoomsNumber,ApartmentFloorNumber,MaxFloorNumber,Latitude,Longitude,ApartmentAge
https://blagovist.ua/object/117484176,150000.0,Монолит,77,2,8,22,50.4624354,30.4325849,спецпроект 2011-2015 гг.
https://blagovist.ua/object/50365547,198961.98099049527,Кирпич,75,2,2,4,50.4458471,30.5142318,Доревол.
https://blagovist.ua/object/421122418,117996.49824912458,Кирпич,96,3,8,22,50.3948404,30.6227588,спецпроект 2000-2005 гг.
https://blagovist.ua/object/50365540,99987.49374687344,Кирпич,123,3,24,25,50.4153197,30.6361309,спецпроект 2011-2015 гг.
https://blagovist.ua/object/419772979,92971.48574287145,Монолит,123,5,25,26,50.4060244,30.6770281,спецпроект 2016-2020 гг.
https://blagovist.ua/object/419596488,67983.991995998,Керамзито-бетон,71,3,10,16,50.408583,30.642827,серия КТ
https://blagovist.ua/object/33660313,134992.49624812408,Кирпич,79,2,12,23,50.418143,30.539082,спецпроект 2016-2020 гг.
https://blagovist.ua/object/419907534,68996.99849924963,Панель,82,3,23,24,50.379499,30.469085,серия КТУ
https://blagovist.ua/object/420671923,79989.99499749875,Панель,93,4,1,14,50.405143,30.653957,АППС-люкс
https://blagovist.ua/object/385912547,84979.98999499751,Кирпич,40,1,1,4,50.4382415,30.5146873,Доревол.
https://blagovist.ua/object/117472194,75000.0,Кирпич,43,1,23,25,50.401869,30.5325215,спецпроект 2011-2015 гг.
https://blagovist.ua/object/33660315,72898.94947473737,Кирпич,55,2,7,25,50.41826,30.6348248,спецпроект 2011-2015 гг.
https://blagovist.ua/object/184575073,170747.8739369685,Кирпич,103.5,3,8,9,50.4524415,30.5021616,спецпроект 2016-2020 гг.
https://blagovist.ua/object/184575074,172398.69934967486,Кирпич,104.5,3,6,9,50.4524415,30.5021616,спецпроект 2016-2020 гг.
https://blagovist.ua/object/117484169,124974.98749374688,Кирпич,67.7,2,12,27,50.4346578,30.5312405,спецпроект 2011-2015 гг.
https://blagovist.ua/object/184575071,78189.09454727365,Кирпич,47.4,1,8,9,50.4524415,30.5021616,спецпроект 2016-2020 гг.
https://blagovist.ua/object/419919508,87006.00300150075,Керамоблок,111,5,10,14,50.3646748,30.4524431,серия КТ
https://blagovist.ua/object/184575072,75075.03751875939,Кирпич,45.5,1,8,9,50.4524415,30.5021616,спецпроект 2016-2020 гг.
https://blagovist.ua/object/184575070,76238.11905952977,Кирпич,46.2,2,5,12,50.4524415,30.5021616,спецпроект 2016-2020 гг.
https://blagovist.ua/object/268436610,64982.49124562282,Керамзито-бетон,88,3,1,16,50.5202966,30.6011839,спецпроект 2006-2010 гг.
https://blagovist.ua/object/184575068,168609.3046523262,Кирпич,102.2,3,8,9,50.4524415,30.5021616,спецпроект 2016-2020 гг.
https://blagovist.ua/object/184575069,200762.88144072038,Кирпич,121.7,3,8,9,50.4524415,30.5021616,спецпроект 2016-2020 гг.
https://blagovist.ua/object/184575066,110717.85892946474,Кирпич,67.1,2,8,9,50.4524415,30.5021616,спецпроект 2016-2020 гг.
