URL,Material,TotalArea,RoomsNumber,FloorNumberCoeff,Latitude,Longitude,Distance,ApartmentAge,Price
https://blagovist.ua/object/184575025,1,72.8,2,0.8333333333333334,50.4524415,30.5021616,1561.3541711573862,1,124000
https://blagovist.ua/object/419996544,1,44,1,0.8571428571428571,50.419243,30.5296743,3473.991649923495,6,143000
https://blagovist.ua/object/33660753,1,186.1,4,0.75,50.4376657,30.5469298,2154.4808904272913,110,372000
https://blagovist.ua/object/419773686,1,84,3,0.8,50.3834362,30.4581856,8775.752024056945,16,100000
https://blagovist.ua/object/285239847,1,140,3,0.75,50.4354538,30.5125045,1833.609867054204,1,330000
https://blagovist.ua/object/106785,4,49,1,0.88,50.499059,30.603932,7861.998208099068,26,45000
https://blagovist.ua/object/67147432,1,278,3,0.8571428571428571,50.407541,30.556827,5296.421686790718,1,778000
https://blagovist.ua/object/83922016,1,322.7,5,0.75,50.5011349,30.5158454,5688.946114101011,16,850000
https://blagovist.ua/object/83921946,2,100,3,0.18181818181818182,50.417068,30.6353932,8738.764262612412,26,95000
https://blagovist.ua/object/110380,1,152,3,0.6428571428571429,50.4284434,30.5462405,2899.842160850431,11,359000
https://blagovist.ua/object/251671056,3,178,3,0.2727272727272727,50.408145,30.555063,5181.441787930356,6,750000
https://blagovist.ua/object/419887106,1,68,3,0.3333333333333333,50.4001917,30.5255402,5570.035216239612,39,80000
https://blagovist.ua/object/419767738,1,95,4,0.9375,50.4604689,30.6148799,6562.97378365714,34,105000
https://blagovist.ua/object/50366940,1,136,4,0.4375,50.5106761,30.5076551,6819.676112299104,25,180000
https://blagovist.ua/object/420850112,4,100,5,0.1111111111111111,50.5220453,30.5112493,8036.5792288494995,23,70000
https://blagovist.ua/object/285224151,1,60,2,0.5,50.452457,30.520576,339.22117130245783,110,150000
https://blagovist.ua/object/420385183,1,44,2,0.2,50.4314725,30.5483034,2715.632968896318,62,59500
https://blagovist.ua/object/420887438,11,113.4,2,0.2857142857142857,50.420279,30.553553,3944.689234431295,6,340000
https://blagovist.ua/object/117482618,1,70,2,0.36,50.429029,30.4660345,4738.290941942212,1,175000
https://blagovist.ua/object/117485345,7,42,1,0.16666666666666666,50.347197,30.4764154,11949.31178656594,6,59000
https://blagovist.ua/object/420613996,1,57,2,0.5217391304347826,50.4222542,30.3795066,10716.629092523704,11,100000
https://blagovist.ua/object/201361794,2,79,3,0.38461538461538464,50.4618821,30.5917423,4991.013202809302,1,85000
https://blagovist.ua/object/33660896,1,237,5,0.9166666666666666,50.4204542,30.5284065,3330.339350137729,6,758000
https://blagovist.ua/object/419761692,3,54.6,1,0.13636363636363635,50.413621,30.5372004,4183.357674507,6,109000
https://blagovist.ua/object/117481604,1,96,3,0.5909090909090909,50.4188366,30.4945637,4067.822533350531,16,103000
https://blagovist.ua/object/117464905,1,427.8,5,0.5,50.4091812,30.5587567,5197.300757815864,11,3500000
https://blagovist.ua/object/285238949,1,46.8,1,0.125,50.4221093,30.5284771,3147.652606081931,1,120000
https://blagovist.ua/object/251683596,7,95.3,3,0.2608695652173913,50.4337859,30.3720879,10935.49660904053,6,76700
https://blagovist.ua/object/385896156,1,96,3,0.5625,50.4475982,30.6736554,10642.563013842266,16,83500
https://blagovist.ua/object/421307848,2,100,3,0.84,50.379182,30.5370121,7960.801559268366,6,102000
https://blagovist.ua/object/419927421,1,64,2,0.9166666666666666,50.3790741,30.5423003,8025.354920552884,6,70000
https://blagovist.ua/object/83901648,1,126,4,0.2857142857142857,50.3944874,30.6466694,10702.800202718518,16,130000
https://blagovist.ua/object/420755848,1,101,2,0.76,50.432933,30.633899,8048.6685915877315,6,65000
https://blagovist.ua/object/285231623,1,102,3,0.56,50.4024471,30.5095978,5413.708496119627,6,375000
https://blagovist.ua/object/285227470,1,350,6,0.64,50.4249317,30.5344498,2915.0912148665557,6,635000
https://blagovist.ua/object/201360683,4,55.2,3,1.0,50.463357,30.6238577,7249.570679820398,64,45000
https://blagovist.ua/object/83910060,1,69.4,3,0.23529411764705882,50.378098,30.706438,15250.11364916526,6,65000
https://blagovist.ua/object/33660589,1,112.8,3,0.8333333333333334,50.454272,30.5934116,4959.186876230728,1,250000
https://blagovist.ua/object/285223700,1,70.4,1,0.5294117647058824,50.431278,30.549513,2787.6599293309055,1,140000
https://blagovist.ua/object/268438101,1,80,3,0.75,50.4456252,30.5390693,1195.6570013866817,81,230000
